LAAL	AL	AP	DAL
206.5	-1719.058	0.651	2943.544
1179.394	150.846	0.639	3138.586
1091.394	1091.394	0.356	2500.0
962.381	962.381	0.112	1000.0
1155.0	1155.0	0.469	2081.733
670.865	-756.321	0.733	1578.188
1376.325	1376.325	0.486	4514.422
1944.521	1810.707	0.668	3951.57
2801.791	2801.791	0.446	2973.039
1215.75	-889.231	0.958	2000.0
2601.425	2601.425	0.453	3106.228
1060.8	1060.8	0.251	1500.0
1949.935	1949.935	0.647	3527.958
2875.0	2875.0	0.389	2150.0
2055.872	2055.872	0.501	2579.524
-121.679	-796.069	0.522	1152.86
1568.05	1160.748	0.548	4183.214
4101.361	4101.361	0.416	4031.719
1674.373	-1081.313	0.785	4367.458
734.25	734.25	0.566	1648.8
952.0	828.0	1.045	1500.0
1266.118	1266.118	0.65	2295.4
4171.373	3835.536	0.649	7701.706
1368.413	1368.413	0.531	2497.23
1270.0	1270.0	1.0	1270.0
1106.545	886.75	0.749	2243.161
6228.737	6228.737	0.443	5978.07
2469.923	2469.923	0.43	2623.55
34501.315	34501.315	0.497	37929.52
